taxa,decay_rate,buff_width,tws,cv_score,delta_score
bats,100,500,2 0 1,5853.902265122586,-31.202014726285597
bats,0,500,1 2 0,5854.151555746773,-31.451305350472467
bats,0,100,0 3 0,5854.215296143613,-31.515045747312797
bats,0,500,1 0 2,5855.01605453695,-32.31580414064956
bats,50,500,1 0 2,5856.157860600143,-33.457610203842705
bats,100,500,0 2 1,5856.3183369155395,-33.618086519239114
bats,50,500,0 0 3,5856.445429814555,-33.74517941825434
bats,0,500,0 2 1,5856.861993688504,-34.16174329220394
bats,0,100,1 0 2,5858.238602510919,-35.53835211461865
bats,50,500,1 2 0,5858.910303302292,-36.21005290599169
bats,100,100,1 1 1,5859.308616174539,-36.608365778238294
bats,50,100,1 0 2,5859.905879187601,-37.205628791301024
bats,0,100,0 1 2,5860.039040701127,-37.338790304826944
bats,100,500,0 3 0,5860.157737095164,-37.45748669886325
bats,50,100,0 0 3,5860.558992168871,-37.85874177257028
bats,100,500,1 0 2,5860.727863268035,-38.02761287173507
bats,100,500,2 1 0,5860.945098947326,-38.244848551025825
bats,50,500,0 1 2,5862.8269177590355,-40.126667362735134
bats,100,500,0 1 2,5863.063155422,-40.36290502569955
bats,100,500,1 2 0,5863.7400056801525,-41.03975528385217
bats,50,100,0 3 0,5864.524240162209,-41.823989765908664
bats,100,100,0 2 1,5865.755102166044,-43.054851769743436
bats,100,100,0 0 3,5867.371364318494,-44.6711139221934
bats,0,100,2 0 1,5868.500489248676,-45.800238852375514
bats,100,100,0 1 2,5870.071496201786,-47.37124580548607
bats,100,100,2 0 1,5873.367597931384,-50.667347535083536
bats,100,100,0 3 0,5876.579628202085,-53.879377805784316
bats,100,100,3 0 0,5879.388201282053,-56.6879508857528
bats,50,100,3 0 0,5882.247914536686,-59.54766414038568
bats,50,100,0 2 1,5882.791398459002,-60.091148062701905
bats,0,100,3 0 0,5883.29355364626,-60.59330324995972
bats,50,100,2 0 1,5883.412446599095,-60.712196202794985
bats,100,100,2 1 0,5889.466859775118,-66.76660937881752
bats,100,100,1 2 0,5898.314768364123,-75.6145179678224
bats,50,100,1 2 0,5899.560942167303,-76.86069177100308
bats,50,100,1 1 1,5902.05769492063,-79.35744452432937
bats,0,100,1 2 0,5915.690464391724,-92.9902139954238
bats,50,100,2 1 0,5945.868587166586,-123.16833677028535
bats,0,100,2 1 0,5949.399182345383,-126.69893194908309
bats,50,100,0 1 2,Inf,-Inf
bats,0,500,2 0 1,Inf,-Inf
bats,50,500,2 1 0,Inf,-Inf
bats,0,1000,1 0 2,Inf,-Inf
bats,50,1000,2 1 0,Inf,-Inf
plants,100,100,0 0 3,1175.6832275238385,0
plants,100,50,2 1 0,1176.1375244719331,-0.45429694809467946
plants,100,50,1 1 1,1176.1943660470088,-0.5111385231703025
plants,100,50,0 0 3,1176.683354477334,-1.00012695349551
plants,50,100,0 1 2,1176.7341355722906,-1.0509080484521292
plants,50,100,1 0 2,1177.7209664995132,-2.037738975674756
plants,50,50,0 1 2,1178.182145780686,-2.498918256847446
plants,100,100,0 1 2,1178.8640333775734,-3.1808058537349098
plants,50,50,1 1 1,1179.8694115068276,-4.186183982989178
plants,50,50,1 0 2,1180.8276403699997,-5.144412846161231
plants,100,50,0 2 1,1180.849878265475,-5.166650741636431
plants,50,50,0 3 0,1181.1502851870223,-5.467057663183823
plants,50,100,0 0 3,1181.3724968280949,-5.689269304256413
plants,50,100,0 2 1,1181.8869612355254,-6.203733711686937
plants,100,100,0 3 0,1182.1458545131068,-6.462626989268301
plants,50,50,0 2 1,1182.418709818298,-6.7354822944596435
plants,100,100,0 2 1,1182.6897366291732,-7.0065091053347714
plants,100,50,2 0 1,1183.525554382492,-7.8423268586534505
plants,50,50,2 0 1,1184.766681253234,-9.083453729395615
plants,100,50,0 1 2,1185.4972079037143,-9.81398037987583
plants,100,100,1 0 2,1186.0320335750682,-10.348806051229758
plants,50,100,2 0 1,1188.6825463414175,-12.999318817579024
plants,50,100,1 1 1,1188.7633496331553,-13.08012210931679
plants,100,1000,1 1 1,1189.0144607647096,-13.331233240871143
plants,100,50,1 2 0,1189.3514824373317,-13.668254913493229
plants,100,50,3 0 0,1190.1837516228295,-14.500524098991036
plants,50,50,0 0 3,1190.398913112845,-14.715685589006625
plants,100,500,0 1 2,1191.9892029609352,-16.305975437096777
plants,100,500,1 1 1,1192.2966852896568,-16.61345776581834
plants,100,50,1 0 2,1193.7194043338193,-18.036176809980816
plants,50,100,3 0 0,1193.8243854854857,-18.141157961647195
plants,50,50,3 0 0,1194.0835271136648,-18.400299589826318
plants,100,50,0 3 0,1194.2567495644878,-18.573522040649323
plants,100,500,2 1 0,1194.80026933746,-19.117041813621427
plants,100,500,0 0 3,1196.1699500768157,-20.4867225529772
plants,100,1000,0 1 2,1196.3566405267811,-20.673413002942652
plants,50,100,2 1 0,1196.500576528285,-20.81734900444644
plants,50,100,0 3 0,1196.6887250178083,-21.00549749396987
plants,100,1000,2 1 0,1197.4557405467626,-21.77251302292416
plants,100,1000,1 2 0,1197.4965218247291,-21.813294300890675
plants,50,50,2 1 0,1197.8205511306185,-22.13732360678
plants,50,500,3 0 0,1198.0005246691169,-22.317297145278417
plants,100,1000,0 0 3,1198.1612464312575,-22.478018907419028
plants,50,1000,1 0 2,1198.5261386348698,-22.8429111110313
plants,100,500,2 0 1,1199.123172299036,-23.439944775197546
plants,50,1000,1 1 1,1199.4944038775634,-23.81117635372493
plants,50,1000,0 0 3,1199.6264635945631,-23.94323607072465
plants,50,1000,0 3 0,1200.087636977822,-24.40440945398359
plants,100,100,1 2 0,1200.241046578894,-24.55781905505546
plants,100,100,2 1 0,1200.2472462937449,-24.564018769906397
plants,50,100,1 2 0,1200.273773759154,-24.590546235315514
plants,50,1000,2 1 0,1200.2843281039554,-24.601100580116963
plants,50,1000,2 0 1,1200.8195095507203,-25.136282026881872
plants,0,100,0 0 3,1200.8445777607278,-25.161350236889348
plants,100,100,2 0 1,1201.026498463029,-25.34327093919046
plants,100,500,0 3 0,1201.7343524968758,-26.051124973037304
plants,100,1000,0 2 1,1201.8399723091632,-26.15674478532469
plants,100,100,1 1 1,1203.203446041803,-27.520218517964622
plants,0,50,0 1 2,1203.4707829179636,-27.787555394125093
plants,50,500,2 1 0,1203.7985140393505,-28.115286515512025
plants,50,500,1 0 2,1204.2558068452431,-28.572579321404646
plants,50,500,0 3 0,1204.2829020458792,-28.599674522040686
plants,100,1000,2 0 1,1204.8352188809563,-29.151991357117822
plants,0,50,0 0 3,1205.382182094414,-29.698954570575552
plants,0,100,3 0 0,1205.4750548307436,-29.791827306905134
plants,100,1000,3 0 0,1206.3185879696707,-30.635360445832248
plants,0,100,2 0 1,1206.320109194173,-30.63688167033456
plants,0,500,0 1 2,1207.1205072682103,-31.437279744371835
plants,0,50,2 0 1,1207.434535605052,-31.751308081213438
plants,50,1000,1 2 0,1207.4407746156992,-31.757547091860715
plants,50,50,1 2 0,1207.471209121387,-31.787981597548423
plants,100,500,3 0 0,1207.5960224126964,-31.91279488885789
plants,50,1000,0 2 1,1208.0667953464545,-32.38356782261599
plants,0,1000,1 1 1,1208.3242070290196,-32.64097950518112
plants,0,100,0 1 2,1208.4587308050209,-32.77550328118241
plants,50,500,1 2 0,1208.76578605945,-33.0825585356115
plants,50,500,0 0 3,1208.837240631198,-33.15401310735956
plants,50,500,0 1 2,1208.894988476949,-33.21176095311057
plants,0,50,0 2 1,1209.3696012546322,-33.686373730793775
plants,0,100,0 2 1,1209.598878865601,-33.91565134176244
plants,50,500,1 1 1,1210.1427842599192,-34.459556736080685
plants,0,100,1 0 2,1210.3317885894326,-34.648561065594095
plants,100,500,1 0 2,1210.62936262009,-34.94613509625151
plants,50,500,0 2 1,1211.2266562986297,-35.54342877479121
plants,0,1000,3 0 0,1212.1729952704916,-36.489767746653115
plants,0,500,2 0 1,1212.4635527684404,-36.780325244601954
plants,100,100,3 0 0,1212.5388998618616,-36.85567233802317
plants,0,100,1 2 0,1213.1865527956852,-37.503325271846734
plants,50,1000,0 1 2,1213.995409658074,-38.31218213423563
plants,0,500,1 2 0,1214.7247822178183,-39.04155469397983
plants,0,500,0 2 1,1214.7552606200911,-39.07203309625265
plants,100,1000,1 0 2,1215.0749893921848,-39.39176186834629
plants,100,500,1 2 0,1216.4781396244146,-40.794912100576084
plants,50,500,2 0 1,1217.2147198112284,-41.53149228738994
plants,0,1000,1 0 2,1217.241472154922,-41.558244631083426
plants,50,1000,3 0 0,1217.3726645984466,-41.68943707460812
plants,0,500,0 0 3,1217.5369001540146,-41.853672630176106
plants,0,100,2 1 0,1217.9331014084908,-42.24987388465229
plants,0,1000,0 3 0,1218.0098585617789,-42.32663103794039
plants,0,1000,2 0 1,1218.1651149269237,-42.48188740308524
plants,100,1000,0 3 0,1218.8986946630855,-43.21546713924704
plants,0,100,1 1 1,1219.3600225722116,-43.67679504837315
plants,0,50,1 2 0,1219.6487376095629,-43.96551008572442
plants,0,500,2 1 0,1220.7736469706506,-45.09041944681212
plants,100,500,0 2 1,1222.0808069160446,-46.397579392206126
plants,0,100,0 3 0,1222.3466924380823,-46.66346491424383
plants,0,500,1 1 1,1224.3810084028637,-48.69778087902523
plants,0,50,1 0 2,1224.903744312694,-49.22051678885555
plants,0,50,1 1 1,1225.5019567258703,-49.81872920203182
plants,0,1000,0 0 3,1226.179857653191,-50.496630129352525
plants,0,50,0 3 0,1226.512687239166,-50.82945971532763
plants,0,1000,2 1 0,1226.7760562932338,-51.09282876939528
plants,0,500,3 0 0,1227.5103921492084,-51.82716462536996
plants,0,1000,1 2 0,1228.444692984351,-52.761465460512454
plants,0,50,2 1 0,1229.4117175561896,-53.72849003235115
plants,0,500,0 3 0,1235.3242758852416,-59.641048361403136
plants,0,1000,0 1 2,1235.5331379366737,-59.84991041283524
plants,0,50,3 0 0,1238.0621213536983,-62.37889382985986
plants,0,500,1 0 2,1245.1042158622977,-69.42098833845921
plants,0,1000,0 2 1,1247.9872335321693,-72.30400600833082
