point,ucb_name,can_cov,shr_cov
ICB13.4,ynp_44,16,4
NA,ynp_45,0,76
ICB13.5,ynp_46,16,40
ICB13.1,ynp_47,19,53
NA,ynp_48,20,8
NA,ynp_49,16,39
UNB2.3,ynp_5,NA,NA
NA,ynp_50,40,18
NA,ynp_51,0,55
NA,ynp_52,0,0
NA,ynp_53,24,33
NA,ynp_54,68,30
NA,ynp_55,12,5
NA,ynp_56,NA,NA
NA,ynp_57,72,0
NA,ynp_58,NA,NA
NA,ynp_59,8,45
UNB2.1,ynp_6,NA,NA
NA,ynp_60,12,0
ICB17.3,ynp_61,NA,NA
ICB24.7,ynp_62,36,7
NA,ynp_63,NA,NA
ICB17.8,ynp_64,NA,NA
NA,ynp_65,NA,NA
ICB17.5,ynp_66,NA,NA
ICB17.6,ynp_67,NA,NA
ICB18.2,ynp_68,12,8
NA,ynp_69,NA,NA
UNB2.4,ynp_7,80,0
ICB18.3,ynp_70,2,87
NA,ynp_71,84,10
ICB38.3,ynp_72,16,10
ICB38.5,ynp_73,7,57
NA,ynp_74,0,0
NA,ynp_75,NA,NA
ICB36.9,ynp_76,8,0
ICB38.8,ynp_77,32,0
NA,ynp_78,0,85
ICB36.7,ynp_79,28.000000000000004,0
UNB2.9,ynp_8,NA,NA
ICB34.2,ynp_80,NA,NA
ICB21.1,ynp_81,24,24
ICB19.7,ynp_82,4,5
NA,ynp_83,40,5
ICB19.3,ynp_84,36,0
ICB34.10,ynp_85,16,5
ICB37.3,ynp_86,28.000000000000004,0
NA,ynp_87,NA,NA
NA,ynp_88,NA,NA
ICB34.5,ynp_89,28.000000000000004,0
UNB2.10,ynp_9,NA,NA
NA,ynp_90,NA,NA
NA,ynp_91,8,0
NA,ynp_92,NA,NA
NA,ynp_93,NA,NA
NA,ynp_94,76,0
NA,ynp_95,NA,NA
NA,ynp_96,NA,NA
NA,ynp_97,NA,NA
NA,ynp_98,NA,NA
NA,ynp_99,NA,NA
UNB1.1,NA,22,23
UNB1.3,NA,35,38
UNB1.5,NA,35,28
UNB1.6,NA,21,18
UNB1.7,NA,23,37
UNB1.9,NA,22,70
UNB3.3,NA,6,22
UNB3.5,NA,22,19
UNB3.6,NA,3,7
UNB3.7,NA,39,48
UNB3.8,NA,52,19
UNB3.9,NA,11,59
UNB3.10,NA,22,17
UNB4.2,NA,35,24
UNB4.4,NA,6,34
UNB4.5,NA,28,6
UNB4.6,NA,25,20
UNB4.7,NA,18,8
UNB4.8,NA,8,8
UNB4.9,NA,31,5
UNB4.10,NA,25,23
UNB5.3,NA,10,12
UNB5.4,NA,6,2
UNB5.5,NA,10,21
UNB5.7,NA,10,7
UNB5.10,NA,19,12
UNB6.1,NA,11,31
UNB6.2,NA,14,19
UNB6.6,NA,15,50
UNB6.7,NA,27,20
UNB6.8,NA,21,58
UNB6.9,NA,8,15
UNB6.10,NA,26,47
UNB7.1,NA,11,5
UNB7.2,NA,30,4
UNB7.4,NA,12,12
UNB7.5,NA,21,8
UNB7.6,NA,15,4
UNB7.7,NA,12,8
UNB7.8,NA,17,5
UNB7.10,NA,15,5
ICB9.1,NA,42,5
ICB9.2,NA,41,7
ICB9.3,NA,30,6
ICB9.4,NA,25,6
ICB9.5,NA,15,3
ICB9.6,NA,12,6
ICB9.7,NA,2,9
ICB9.8,NA,0,7
ICB9.10,NA,11,4
ICB12.1,NA,1,67
ICB12.2,NA,1,79
ICB12.4,NA,12,36
ICB12.6,NA,0,82
ICB12.7,NA,0,83
ICB12.9,NA,2,33
ICB12.10,NA,0,69
ICB13.3,NA,0,85
ICB13.6,NA,26,42
ICB13.9,NA,1,41
ICB16.1,NA,9,52
ICB16.2,NA,14,15
ICB16.3,NA,12,40
ICB16.4,NA,32,12
ICB16.5,NA,7,33
ICB16.6,NA,14,14
ICB16.7,NA,9,31
ICB16.8,NA,3,20
ICB16.9,NA,7,81
ICB16.10,NA,19,19
ICB18.1,NA,26,3
ICB18.4,NA,19,8
ICB18.5,NA,12,17
ICB18.6,NA,21,9
ICB18.7,NA,22,9
ICB18.8,NA,14,5
ICB18.9,NA,16,16
ICB18.10,NA,21,10
ICB20.1,NA,10,35
ICB20.2,NA,15,24
ICB20.3,NA,4,40
ICB20.4,NA,4,52
ICB20.5,NA,6,22
ICB20.6,NA,8,18
ICB20.7,NA,11,28
ICB20.8,NA,18,42
ICB20.9,NA,4,16
ICB20.10,NA,9,8
ICB21.2,NA,21,25
ICB21.3,NA,12,72
ICB21.4,NA,19,10
ICB21.5,NA,8,72
ICB21.6,NA,7,80
ICB21.7,NA,8,5
